breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,extracted_paragraph,extracted_image_url
Pharaoh Hound,https://dogtime.com/dog-breeds/pharaoh-hound,4,4,4,5,2,1,5,5,5,5,5,4,3,2,1,4,5,3,3,4,3,4,4,5,4,4,3,2,3,4,4,Hound Dogs,"1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder",45 to 55 pounds,11 to 14 years,"The Pharaoh Hound is an ancient dog breed that’s changed little since their development more than 5,000 years ago. They were the dogs of kings and may have hunted gazelles with pharaohs, hence their name. This loyal hunting companion later made their way to Malta, where they’re now the national dog.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-87733113-e1694530361947.jpg?w=1024
Pitsky,https://dogtime.com/dog-breeds/pitsky,2,2,1,4,1,3,3,5,5,5,3,5,3,4,2,3,4,2,3,4,3,3,4,3,4,4,5,4,4,5,5,Mixed Breed Dogs,16 to 25 inches ,30 to 80 pounds ,12 to 16 years ,"The Pitsky is a mixed breed dog — a cross between the American Pit Bull Terrier and Siberian Husky dog breeds. They range in size from medium to large, they are energetic, and loyal, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/pitsky-mixed-dog-breed-pictures-cover.jpg?w=760
Plott,https://dogtime.com/dog-breeds/plott,2,1,1,4,2,2,4,4,4,3,5,3,3,2,1,5,5,3,3,4,4,3,3,5,1,5,4,4,4,5,3,Hound Dogs,"1 foot, 8 inches to 2 feet, 3 inches tall at the shoulder",40 to 75 pounds,12 to 14 years,"The Plott Hound, a breed originating in the United States, is a skilled and dedicated hunting dog with a rich history. Developed by the Plott family in North Carolina, this coonhound breed is renowned for their exceptional tracking and treeing abilities, particularly in pursuit of large game such as boars and bears. With a strong and muscular build, the Plott Hound is well-suited for endurance and agility in the rugged terrains they often encounter during hunting activities. Their short, dense coat comes in various colors, with a brindle pattern being a common and distinctive trait.",https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1249959818-1-e1705507108397.jpg?w=1024
Pocket Beagle,https://dogtime.com/dog-breeds/pocket-beagle,3,4,3,4,2,2,4,5,5,5,5,4,3,3,1,5,3,5,2,4,3,4,4,3,5,5,4,4,4,4,4,Hound Dogs,7 inches to 1 foot tall at the shoulder,7 to 15 pounds,Starts at 10 years,"The Pocket Beagle, a dog breed resembling a smaller-sized Beagle, is a compact Beagle variety known for their friendly demeanor. Standing around 10 inches tall, these diminutive dogs exhibit similar distinctive characteristics of Beagles. Despite their reduced size, Pocket Beagles maintain the same playful and outgoing nature as the larger Beagle. While their hunting instincts are still present due to their Beagle ancestors, Pocket Beagles primarily make affectionate pets. ",https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-106558201-e1704373936986.jpg?w=1024
Pointer,https://dogtime.com/dog-breeds/pointer,2,1,1,3,1,2,4,5,5,5,5,5,3,3,1,5,3,3,3,5,5,5,5,5,3,5,5,5,5,5,5,Sporting Dogs,"1 foot, 11 inches to 2 feet, 4 inches tall at the shoulder",45 to 75 pounds,12 to 15 years,"The Pointer, also called the English Pointer, was used for several hundred years to “point” birds and small game such as rabbits. This remarkable dog breed is a versatile field dog and an exceptional family dog breed. Pointers excel in many arenas, from the field to the show ring, agility to obedience.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-130406055-e1693514779447.jpg?w=1024
Polish Lowland Sheepdog,https://dogtime.com/dog-breeds/polish-lowland-sheepdog,4,4,2,4,3,4,4,4,5,4,3,3,2,1,1,1,4,3,3,3,4,4,3,3,2,3,4,4,3,4,4,Herding Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",35 to 55 pounds,10 to 12 years,"The Polish Lowland Sheepdog is a medium-sized working dog breed originally bred for herding and guarding. Clever and courageous, Polish Lowland Sheepdogs are highly protective of their flock but very sociable with people. While they excel in working roles, they’ve seamlessly adapted as companion dogs. Although rare outside their native homeland, these Polish herding dogs are gaining popularity in the United States. ",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1179752527-e1695392708571.jpg?w=1024
Pomapoo,https://dogtime.com/dog-breeds/pomapoo,3,5,5,4,1,3,2,4,5,3,3,3,2,3,1,1,3,4,1,3,4,4,3,2,3,1,3,3,3,3,4,Mixed Breed Dogs,8 to 10 inches,5 to 15 pounds,12 to 15 years ,"The Pomapoo is an adorable cross between a Pomeranian and a Toy or Miniature Poodle, blends the best of both parent breeds. With their fluffy coats, expressive eyes, and petite size, Pomapoos are irresistibly cute companions. Known for their playful and affectionate nature, these designer dogs thrive on companionship and enjoy being the center of attention. Their adaptable temperament makes them well-suited for various living situations, from apartments to larger homes, as long as they receive ample love and attention.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-1255276036-e1707598584889.jpg?w=1024
Pomchi,https://dogtime.com/dog-breeds/pomchi,3,4,3,3,3,2,4,3,4,3,3,3,3,3,1,2,5,4,1,4,3,4,4,3,4,3,4,3,4,3,4,Mixed Breed Dogs,6 to 10 inches,4 to 12 pounds,12 to 18 years,"The Pomchi is an ultra-portable yet playful mix of the sassy Chihuahua with the lively Pomeranian. These tiny pups pack huge personalities into their small frames, standing just 6-10 inches tall and weighing 3-12 pounds fully grown. With their petite apple-shaped heads, pointed ears, and fluffy double coats in shades like orange, cream, black and brown, Pomchis simply exude adorable charm and moxie. Despite their small size, these pups make up for it with bold, energetic demeanors inherited from both feisty parent breeds.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-2068967443-e1713143482323.jpg?w=1024
Pomeagle,https://dogtime.com/dog-breeds/pomeagle,3,4,4,4,1,3,2,4,5,3,3,3,3,4,1,2,3,4,1,3,3,2,3,3,5,4,4,4,3,3,4,Mixed Breed Dogs,6 to 11 inches ,5 to 25 pounds ,12 to 15 years ,"The Pomeagle is a mixed breed dog — a cross between the Pomeranian and Beagle dog breeds. Small, affectionate, and curious by nature, these pups inherited some of the best qualities from both of their parents. Pomeagles also go by the names Beagle Pom or Pomeranian Beagle mix. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and rescues.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/pomeagle-mixed-dog-breed-pictures-cover.jpg?w=760
Pomeranian,https://dogtime.com/dog-breeds/pomeranian,3,4,4,4,1,4,2,3,5,2,2,3,3,4,1,2,3,4,1,3,4,4,2,2,5,1,3,3,2,2,3,Companion Dogs,7 inches to 1 foot tall at the shoulder,3 to 7 pounds,12 to 16 years,"The Pomeranian is a small dog breed from the Pomerania region in Europe, known for their compact size, fluffy double coat, alert expression, and spirited nature. This Spitz type of breed is highly energetic, intelligent, and often exhibit a confident and curious demeanor, making them popular as companion dogs. Pomeranians come in a variety of colors and patterns, and require regular grooming to maintain their luxurious coat. While they make loving and loyal pets, their small size and fragile build require careful handling and supervision, however, especially around children and larger animals.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-654892254-e1689593598708.jpg?w=1024
Pomsky,https://dogtime.com/dog-breeds/pomsky,3,5,2,4,1,5,3,3,5,2,3,3,3,4,1,2,3,3,2,4,3,4,3,4,5,2,3,4,2,3,4,Mixed Breed Dogs,10 to 15 inches,7 to 38 pounds,12 to 15 years,"The Pomsky is a cross between a Pomeranian and a Siberian Husky, and they are quickly becoming one of the most popular designer dog breeds. Cute, silly, and suited for apartment life, the Pomsky dogs like to be the center of attention, and with their adorable looks and playful antics, they often get the adoration they crave.",https://dogtime.com/wp-content/uploads/sites/12/2017/10/GettyImages-1454876890-e1692571487351.jpg?w=1024
Poochon,https://dogtime.com/dog-breeds/poochon,4,5,5,5,1,3,4,5,5,5,4,4,2,1,1,1,3,4,2,3,5,4,3,3,2,2,4,4,3,4,5,Mixed Breed Dogs,9 to 15 inches ,6 to 17 pounds ,12 to 15 years,"The Poochon, spunky and full of charm, results from crossing of the Toy Poodle and Bichon Frise dog breeds. Small in stature yet abundant in joy and intelligence, these charming companions inherit a blend of the finest traits from both parent breeds. Researching their parents can offer much insight into their personalities and characteristics, as well as potential health conditions. Poochons go by several names including the Bichpoo, Bichon Poo, and Bichon Poodle. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed-specific rescues, so remember to adopt! Don’t shop! ",https://dogtime.com/wp-content/uploads/sites/12/2024/02/GettyImages-1816855440-e1709074098535.jpg?w=1024
Poodle,https://dogtime.com/dog-breeds/poodle,4,5,5,4,1,3,4,5,5,5,4,4,2,1,1,1,2,4,4,4,5,5,4,2,2,3,4,4,3,4,5,Companion Dogs,"From 1 foot, 10 inches tall at the shoulder",45 to 70 pounds,12 to 15 years,"Elegant. Proud. Clever. The Poodle is an impressive dog, as the many best-in-show winners from this dog breed can attest. But behind the blue ribbons, impressive hairdos, and regal attitude, you’ll find an affectionate family dog with an ancient history and many talents.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-182816790-e1698160624173.jpg?w=1024
Portuguese Podengo Pequeno,https://dogtime.com/dog-breeds/portuguese-podengo-pequeno,3,5,4,3,3,2,3,4,4,4,4,4,3,3,1,4,4,2,1,4,4,3,3,4,4,3,4,5,3,3,3,Hound Dogs,8 to 12 inches,9 to 13 pounds,12 to 15 years,"The Portuguese Podengo Pequeno, a small and lively dog breed originating from Portugal, has a charming appearance and spirited demeanor. They have a muscular build and a distinctive wedge-shaped head, with alert almond-shaped eyes and erect ears. Renowned for their historical role as a hunter, this breed possesses an independent and determined character, making them an excellent watchdog and companion.",https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-157767491-e1707428265826.jpg?w=1024
Portuguese Water Dog,https://dogtime.com/dog-breeds/portuguese-water-dog,3,4,3,4,2,4,3,5,5,5,5,3,2,1,1,2,4,3,3,4,4,5,5,3,3,3,5,5,3,5,5,Working Dogs,"1 foot, 5 inches to 1 foot, 11 inches tall at the shoulder",35 to 60 pounds,10 to 14 years,"The Portuguese Water Dog originated in Portugal as a working dog. They were used for a variety of tasks, including herding sheep, retrieving waterfowl, and assisting fishermen. The breed was brought to the United States in the early 1960s and has since become a popular companion dog. Medium in size, they stand around 17-23 inches tall and weigh 35-60 pounds. They have a water-resistant double coat that is long and wavy, with a soft and dense undercoat. Brush coats regularly to prevent matting.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1354073544-e1693697432472.jpg?w=1024
Pug,https://dogtime.com/dog-breeds/pug,3,5,5,3,1,2,1,4,5,4,4,4,3,5,1,5,1,5,2,2,3,2,2,3,2,2,4,3,4,3,5,Companion Dogs,"10 inches to 1 foot, 2 inches tall at the shoulder",14 to 18 pounds,12 to 15 years,"The Pug is a small companion dog with an iconic wrinkly face, curled tail, and giant personality. A popular breed in the Toy group, they’re immediately recognizable anywhere they go. However, not everyone may know this little ancient breed boasts a rich history stretching centuries back. Originating in China during the Shang dynasty (around 1600–1046 BCE), royalty cherished these unique dogs for their endearing personality and appearance.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-sb10066858aa-001-e1693353192358.jpg?w=1024
Pugalier,https://dogtime.com/dog-breeds/pugalier,4,5,5,5,2,2,2,5,5,5,5,5,3,4,1,4,3,5,2,3,4,3,3,3,3,2,4,3,3,3,5,Mixed Breed Dogs,10 to 14 inches,10 to 20 pounds,12 to 15 years ,"The Pugalier, a mixed breed dog crossed between the Pug and Cavalier King Charles Spaniel, is small, adorable, and loyal. It inherits the best qualities from both parents. Pugaliers are usually called by their mixed breed name, but may also be referred to as Pug/Cavalier King Charles Spaniel mixes. ",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-141824266-e1695067970518.jpg?w=1024
Puggle,https://dogtime.com/dog-breeds/puggle,4,4,5,3,3,3,3,5,3,5,5,5,3,3,1,5,4,5,2,3,2,3,3,2,4,5,3,3,2,3,3,Hybrid Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",18 to 30 pounds,10 to 15 years,"The Puggle dog, a hybrid breed created by crossing Beagles and Pugs, has become popular for their fun-loving personality and cute looks. First bred in the United States in the 1980s, Puggles have become increasingly popular in recent years. Puggles are known for their friendly and playful personalities, and they make great family pets.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-173812656-e1692210730692.jpg?w=1024
Puli,https://dogtime.com/dog-breeds/puli,3,4,1,4,2,4,3,4,5,5,5,2,2,1,1,1,5,3,3,4,2,4,3,4,4,5,5,5,5,5,5,Herding Dogs,"1 foot, 4 inches to 1 foot, 5 inches tall at the shoulder",25 to 35 pounds,10 to 15 years,"The Puli is a hardworking herding dog breed and family companion known for its long, corded coat resembling dreadlocks. This mop-like dog breed hailing from Hungary appears much larger than they are due to its distinctive coat. They are energetic and lively, and they require plenty of exercise and mental stimulation.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1132440533.jpg?w=1024
Pyrenean Shepherd,https://dogtime.com/dog-breeds/pyrenean-shepherd,3,5,2,4,1,4,3,4,5,5,2,2,2,3,1,3,2,3,2,3,2,4,3,4,5,2,5,4,5,5,5,Herding Dogs,"1 foot, 3 inches to 1 foot, 9 inches tall at the shoulder",25 to 30 pounds,15 to 17 years,"The Pyrenean Shepherd is a lively and agile herding dog known for their boundless energy and intelligence. Originating from the Pyrenees Mountains in France, these compact yet sturdy canines were bred to assist shepherds in managing flocks of sheep. They come in two coat varieties: Rough-faced and Smooth-faced, both of which are weather-resistant and relatively easy to maintain. Despite their small size, Pyrenean Shepherds are renowned for their fearlessness and strong work ethic, excelling in various dog sports such as agility, obedience, and herding trials.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-144327004-e1707071663361.jpg?w=1024
Rat Terrier,https://dogtime.com/dog-breeds/rat-terrier,3,5,3,4,3,1,4,4,4,5,3,4,3,4,1,5,4,3,1,3,5,4,2,4,1,4,5,5,4,4,5,Terrier Dogs,"1 foot, 1 inch to 1 foot, 4 inches tall at the shoulder",,13 to 18 years,"The Rat Terrier is a lively and versatile small dog breed known for their keen intelligence, boundless energy, and friendly disposition. Originating in the United States, this breed was initially developed for hunting small game and pest control, earning them their “Rat Terrier” moniker. They have a compact and athletic build, with a short coat in various colors and patterns. Rat Terriers are highly trainable and excel in various canine activities, including obedience, agility, and even competitive dog sports. They are affectionate and loyal to their families, making them great companions, and their vigilant nature often makes them excellent watchdogs. Despite their small size, Rat Terriers are full of spunk and make wonderful pets for active households willing to provide them with mental and physical stimulation.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-501597845-e1692138856217.jpg?w=1024
Redbone Coonhound,https://dogtime.com/dog-breeds/redbone-coonhound,3,4,2,5,2,3,2,4,5,5,4,3,3,2,4,5,3,3,3,4,3,4,4,4,4,5,5,4,4,5,5,Hound Dogs,"1 foot, 9 inches to 2 feet, 3 inches tall at the shoulder",45 to 70 pounds,10 to 12 years,"The Redbone Coonhound dog breed is a medium-sized hound who has a gorgeous red coat, the pleading expression common to hounds everywhere, and a sweet voice that sings out when they’re on the hunt. However, they also bark a lot when they’re not on the hunt, and take a lot of patience to train.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-478044020-e1695634157315.jpg?w=1024
Rhodesian Ridgeback,https://dogtime.com/dog-breeds/rhodesian-ridgeback,3,1,2,4,2,3,3,4,5,4,4,3,4,4,1,5,4,3,4,3,2,4,3,5,1,5,5,4,4,5,5,Hound Dogs,"2 feet to 2 feet, 3 inches tall at the shoulder",70 to 85 pounds,10 to 12 years,"The Rhodesian Ridgeback is a handsome dog breed bred in Africa to be a versatile hunter and home guardian. These days, They’re less likely to hunt lions and more likely to hunt a soft spot on the sofa after going jogging with you.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-975716310-e1688262804516.jpg?w=1024
Rottador,https://dogtime.com/dog-breeds/rottador,3,3,2,5,1,4,3,4,5,4,3,3,4,4,4,5,2,5,4,4,4,5,4,3,4,3,5,5,5,5,5,Mixed Breed Dogs,24 to 27 inches,70 to 115 pounds,10 to 12 years,"The Rottador is a mixed breed dog–a cross between the Rottweiler and Labrador Retriever dog breeds. Large, energetic, and loyal, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/11/rottador-mixed-dog-breed-pictures-cover.jpg?w=760
Rottle,https://dogtime.com/dog-breeds/rottle,3,4,3,3,3,3,3,4,5,4,3,3,3,2,2,4,4,3,3,3,5,5,3,3,2,2,4,4,3,4,5,Mixed Breed Dogs,12 to 27 inches,60 to 90 pounds,9 to 15 years,"The Rottle is a mixed breed dog — a cross between the Rottweiler and Poodle dog breeds. Playful, intelligent, and eager to please, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/12/rottle-mixed-dog-breed-pictures-cover.jpg?w=760
Rottweiler,https://dogtime.com/dog-breeds/rottweiler,2,2,1,4,1,2,3,4,5,4,2,4,4,4,4,5,2,5,3,4,4,5,3,4,4,2,4,4,4,4,5,Working Dogs,"1 foot, 10 inches to 2 feet, 3 inches tall at the shoulder",85 to 130 pounds,8 to 11 years,"The Rottweiler is a large working breed from Germany, where they were known as Rottweiler Metzgerhund, which means “Rottweil butchers’ dogs.” As their name might suggest, these strong dogs were used to pull meat-laden carts to market. However, the Rottweiler’s history dates even further back, with ties to the Roman Empire, where they were used as herding and guarding dogs. Today, Rottweilers are renowned for their versatility and serve as exceptional working dogs, excelling in law enforcement roles, search and rescue, and even as service dogs. Although maybe not as well known, there are multiple types of Rottweilers: American, German, and Roman. There are also long-haired Rottweilers, who showcase a beautiful, silky coat. Of course, long-haired Rotties still come in their iconic black and tan coloring. ",https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1198147566-e1701133343267.jpg?w=1024
Saint Berdoodle,https://dogtime.com/dog-breeds/saint-berdoodle,3,2,5,3,2,4,3,5,5,5,5,4,3,3,1,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,Mixed Breed Dogs,15 to 30 inches,40 to 180 pounds,8 to 12 years,"A Saint Berdoodle is a hybrid dog breed that is a cross between a Saint Bernard and a Poodle. This mix aims to combine the gentle giant nature of the Saint Bernard with the intelligent and hypoallergenic qualities of the Poodle. The Saint Berdoodle is a large-sized dog, typically inheriting the impressive stature of the Saint Bernard parent. ",https://dogtime.com/wp-content/uploads/sites/12/2019/08/Jungle-Curl-Collage-e1707072995312.png?w=1024
Saint Bernard,https://dogtime.com/dog-breeds/saint-bernard,3,3,2,4,1,5,1,5,5,5,5,5,4,4,5,2,2,4,5,2,2,4,3,1,1,2,3,3,2,2,4,Working Dogs,"2 feet, 2 inches to 2 feet, 6 inches tall at the shoulder",120 to 180 pounds,8 to 10 years,"The Saint Bernard or St. Bernard is a giant working breed from the Western Alps of Switzerland and Italy. Gentle and devoted, these dogs were historically bred by monks in the hospice of Saint Bernard to assist in search and rescue missions in the treacherous mountain passes. They are massive, muscular dogs weighing from 120 to 180 pounds. While their figure might be imposing, they also have friendly expressions, broad heads, and deep-set eyes. Saint Bernards have a dense, double coat that provides insulation against the cold, and they come in both short and long-haired varieties. The St. Bernard temperament is easygoing, friendly, gentle, and watchful.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-587079387-e1693516546155.jpg?w=1024
Saluki,https://dogtime.com/dog-breeds/saluki,2,1,2,5,1,2,3,4,5,4,4,1,3,2,1,4,4,1,4,4,4,4,4,5,1,5,4,5,2,5,5,Hound Dogs,"1 foot, 11 inches to 2 feet, 4 inches tall at the shoulder",35 to 70 pounds,12 to 14 years,"The Saluki is an ancient sighthound breed from the Middle East who was once considered a gift from Allah. With a quiet and dignified temperament, Salukis are medium-to-large in size with a long, slender body. Their coats are short, smooth, and silky, with feathering around the ears and tail. They can be found in various colors including cream, white, fawn, red, and black.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1395012589-e1693920667739.jpg?w=1024
Samoyed,https://dogtime.com/dog-breeds/samoyed,3,2,2,4,2,5,1,5,5,5,5,5,3,5,2,1,3,4,3,4,3,3,3,5,3,4,4,5,2,5,5,Working Dogs,"1 foot, 7 inches to 2 feet tall at the shoulder",50 to 60 pounds,12 to 14 years,"The Samoyed is a medium-sized working dog breed who was once the valued companion of the Samoyede people of northwestern Siberia. Affectionately called Sammies, the highly versatile Samoyed dogs were used to hunt, haul sleds, transport goods, herd reindeer, and warm their owners by sleeping on top of them at night. Because of this working ancestry, the Samoyed temperament can sometimes be strong-willed, but they are always friendly, gentle, and devoted.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-997016774-e1694111248101.jpg?w=1024
Samusky,https://dogtime.com/dog-breeds/samusky,3,2,3,3,2,5,3,4,4,5,4,4,3,4,2,2,3,4,4,3,3,5,3,3,2,4,4,5,3,4,5,Mixed Breed Dogs,20 to 24 inches,45 to 60 pounds,12 to 15 years,"The Samusky is a mixed breed dog–a cross between the Samoyed and the Siberian Husky dog breeds. Highly intelligent, loyal, and good-natured, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/12/samusky-mixed-dog-breed-pictures-cover.jpg?w=760
Schipperke,https://dogtime.com/dog-breeds/schipperke,3,4,4,4,3,3,2,3,4,5,2,2,3,3,1,5,4,5,1,3,2,4,3,2,4,5,5,5,3,5,5,Companion Dogs,"10 inches to 1 foot, 3 inches tall at the shoulder",11 to 18 pounds,13 to 15 years,"The Schipperke is a small, lively Belgian dog breed with a unique and distinctive appearance. These dogs are known for their fox-like face, pointed ears, and thick double coat. Typically, the fur is black, but can also be chocolate or cream. They are a compact dog, especially in comparison to other Belgian dog breeds, and usually only weigh between 10 to 16 pounds. They stand around 10 to 13 inches tall at the shoulder. Their tail is typically docked, and they have a mischievous, alert expression.",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1227082883-e1697817166227.jpg?w=1024
Schnoodle,https://dogtime.com/dog-breeds/schnoodle,3,3,5,4,2,2,4,4,4,5,3,3,3,2,1,4,3,4,4,3,4,5,3,3,2,3,4,4,3,4,4,Hybrid Dogs,"1 foot, 3 inches to 2 feet, 2 inches tall at the shoulder",20 to 75 pounds,10 to 15 years,"The Schnoodle is a crossbreed of the Schnauzer and Poodle that comes in four different sizes. Smart, active, and adorable, the Schnoodle has become a popular hybrid dog breed. Their coats can showcase an array of colors, ranging from black, to gray, to white, to sable, to even apricot. While they are energetic and active, the Schnoodle is not a hyperactive dog. They love being around their people, and it isn’t recommended to keep them home alone. Inherent in Schnauzers is a tendency to favor one person over others, a trait often passed down to them. While they maintain affection for the entire family, occasional preferences arise. ",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1177553118-e1691704553367.jpg?w=1024
Scottish Deerhound,https://dogtime.com/dog-breeds/scottish-deerhound,3,1,1,3,2,4,4,4,5,4,2,5,3,5,1,2,3,4,5,3,2,3,4,5,1,4,5,5,5,5,5,Hound Dogs,"2 feet, 4 inches to 2 feet, 8 inches tall at the shoulder",75 to 110 pounds,8 to 11 years,"The original purpose of the Scottish Deerhound dog breed was to hunt and bring down the Scottish roe deer, a magnificent beast twice or more the dog’s size. Today, if the Scottish Deerhound were writing a personals ad, they’d say that they enjoy long walks, opportunities to run, regular meals, and a nice sofa to nap on.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-705005211-e1694536944778.jpg?w=1024
Scottish Terrier,https://dogtime.com/dog-breeds/scottish-terrier,3,4,2,4,3,4,3,4,5,4,4,4,2,2,1,2,4,3,2,3,1,4,3,3,4,5,4,4,4,4,4,Terrier Dogs,Up to 10 inches tall at the shoulder,18 to 22 pounds,11 to 13 years,"An independent and stubborn character, the Scottish Terrier dog breed is also quite sensitive to praise and blame. Independent, intelligent, and hilarious in their dignified seriousness, they’re a true Terrier, which makes them an excellent watchdog.",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-122599859-e1696958039342.jpg?w=1024
Sealyham Terrier,https://dogtime.com/dog-breeds/sealyham-terrier,4,4,4,4,2,4,3,4,4,4,4,3,3,4,3,1,5,3,2,3,3,4,2,2,2,3,4,4,2,4,4,Terrier Dogs,Up to 10 inches tall at the shoulder,22 to 24 pounds,12 to 14 years,"The Sealyham Terrier, a rare Welsh small to medium-sized terrier breed, originated in Wales as a working dog. Sealies were frist bred to hunt otters, foxes, and badgers. Developed in the 19th century by Captain John Edwardes at Sealyham House, the breed became increasingly popular after World War I. Soon, it was associated with Hollywood stars and the British royal family. Today, these clowns of the terrier family are primarily companion dogs and a good choice for novice pet parents. These friendly, affectionate pups will get along with the whole family, whether that family lives in an apartment or a large home with a backyard. ",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1250645922-1-e1692385289996.jpg?w=1024
Sheepadoodle,https://dogtime.com/dog-breeds/sheepadoodle,4,4,4,5,2,4,3,5,5,5,4,4,3,1,1,3,4,4,4,3,3,5,3,1,2,2,4,4,3,4,5,Mixed Breed Dogs,16 to 22 inches,60 to 80 pounds,12 to 15 years,"The Sheepadoodle is a mixed breed dog — a cross between the Old English Sheepdog and Poodle dog breeds. Smart, playful, and loving, these pups inherited some of the best traits from both of their parents. Sheepadoodles go by many names, including Sheep-a-poo, Sheeppoo, Sheepdoodle, Sheepdogpoo, and Sheepdog Poodle Mix. Despite their status as a designer breed, you may find these mixed breed dogs in shelters and rescues, so remember to adopt! Don’t shop!",https://dogtime.com/wp-content/uploads/sites/12/2020/01/sheepadoodle-mixed-dog-breed-pictures-cover.jpg?w=760
Shepsky,https://dogtime.com/dog-breeds/shepsky,3,1,1,4,2,4,3,4,5,4,3,4,3,4,2,3,4,2,4,4,4,5,4,4,3,2,5,5,4,5,5,Mixed Breed Dogs,20 to 25 inches,45 to 88 pounds ,10 to 14 years ,"The Shepsky, also known as the Gerberian Shepsky, is a hybrid dog breed that results from the crossbreeding of a German Shepherd and Siberian Husky. This unique combination combines the intelligence and loyalty of the German Shepherd with the striking appearance and endurance of the Siberian Husky. Shepskies are typically medium to large-sized dogs with a well-balanced build, erect ears, and a bushy tail. Their coat can vary in color and often features a mix of the parents’ coat colors.",https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-992460814-e1705419500212.jpg?w=1024
Shetland Sheepdog,https://dogtime.com/dog-breeds/shetland-sheepdog,3,2,3,5,2,4,3,5,5,5,4,5,3,5,1,2,4,3,1,3,5,5,1,3,1,2,4,4,2,4,4,Herding Dogs,"1 foot, 1 inch to 1 foot, 4 inches tall at the shoulder",Starts at 20 pounds,12 to 15 years,"The Shetland Sheepdog, affectionately known as the “Sheltie,” is a remarkable dog breed that captures the hearts of dog enthusiasts worldwide. Renowned for their intelligence, loyalty, and elegance, Shelties possess a unique combination of traits that make them excellent canine companions.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-518594332-e1692194561378.jpg?w=1024
